"year","country","gdp","gini","population"
2016,Liechtenstein,,,37910.0
2015,Liechtenstein,,,37910.0
2014,Liechtenstein,,,37910.0
2013,Liechtenstein,,,37910.0
2012,Liechtenstein,,,37910.0
2011,Liechtenstein,,,37910.0
2010,Liechtenstein,5082366478.08994,,37910.0
2009,Liechtenstein,,,37910.0
2008,Liechtenstein,,,37910.0
2007,Liechtenstein,,,37910.0
2006,Liechtenstein,,,37910.0
2018,Lithuania,14395769626.2351,35.7,2801543.0
2017,Lithuania,13850496906.4725,37.3,2801543.0
2016,Lithuania,13281695423.2095,38.4,2801543.0
2015,Lithuania,12955371854.0676,37.4,2801543.0
2014,Lithuania,12698284425.0764,37.7,2801543.0
2013,Lithuania,12264488263.5827,35.3,2801543.0
2012,Lithuania,11844017031.4634,35.1,2801543.0
2011,Lithuania,11405601149.4605,32.5,2801543.0
2010,Lithuania,10756042844.3535,33.6,2801543.0
2009,Lithuania,10581319790.3218,37.2,2801543.0
2008,Lithuania,12425019822.0591,35.7,2801543.0
2007,Lithuania,12108453621.6011,34.8,2801543.0
2006,Lithuania,10897964391.0828,34.4,2801543.0
2018,Luxembourg,67366870478.9246,35.4,607950.0
2017,Luxembourg,65334423537.5936,34.5,607950.0
2016,Luxembourg,64178453456.4681,31.7,607950.0
2015,Luxembourg,61370976137.0688,32.9,607950.0
2014,Luxembourg,58837192739.3142,31.2,607950.0
2013,Luxembourg,56413236518.3812,32.0,607950.0
2012,Luxembourg,54424368010.6887,34.3,607950.0
2011,Luxembourg,54616903567.9042,32.1,607950.0
2010,Luxembourg,53264394998.6001,30.5,607950.0
2009,Luxembourg,50793315934.8984,31.2,607950.0
2008,Luxembourg,53108088559.7831,32.6,607950.0
2007,Luxembourg,53796460668.8657,31.1,607950.0
2006,Luxembourg,49648546045.1779,30.9,607950.0
2018,Malta,13921976625.3068,28.7,484630.0
2017,Malta,13236432054.2372,29.2,484630.0
2016,Malta,12242418065.7844,29.1,484630.0
2015,Malta,11761274055.5891,29.4,484630.0
2014,Malta,10730293230.9693,29.0,484630.0
2013,Malta,9969284127.5679,28.8,484630.0
2012,Malta,9451945528.64474,29.4,484630.0
2011,Malta,9078134520.83534,29.1,484630.0
2010,Malta,9035932122.49768,29.0,484630.0
2009,Malta,8561323235.70686,30.2,484630.0
2008,Malta,8659511134.94235,29.0,484630.0
2007,Malta,8340378285.12884,29.2,484630.0
2006,Malta,7960297513.94763,28.0,484630.0
2018,Moldova,9545247410.92867,25.7,2706049.0
2017,Moldova,9151593647.17486,25.9,2706049.0
2016,Moldova,8741545794.83075,26.3,2706049.0
2015,Moldova,8372415480.26162,27.0,2706049.0
2014,Moldova,8400830055.05566,26.8,2706049.0
2013,Moldova,8000819052.00779,28.5,2706049.0
2012,Moldova,7337248195.12826,29.2,2706049.0
2011,Moldova,7380775144.91523,30.6,2706049.0
2010,Moldova,6974960345.3712,32.1,2706049.0
2009,Moldova,6512568011.12431,32.9,2706049.0
2008,Moldova,6928263862.95101,34.7,2706049.0
2007,Moldova,6426960903.2039,34.4,2706049.0
2006,Moldova,6239767852.66749,35.4,2706049.0
2018,Monaco,7584047726.36882,,38682.0
2017,Monaco,7148018560.25454,,38682.0
2016,Monaco,7399605196.87127,,38682.0
2015,Monaco,7149376905.74042,,38682.0
2014,Monaco,6815421317.77807,,38682.0
2013,Monaco,6357669097.17619,,38682.0
2012,Monaco,5800793053.16187,,38682.0
2011,Monaco,5743359406.07185,,38682.0
2010,Monaco,5367625613.15127,,38682.0
2009,Monaco,5257223916.21371,,38682.0
2008,Monaco,5926971761.89845,,38682.0
2007,Monaco,5887710460.02917,,38682.0
2006,Monaco,5145300278.40382,,38682.0
2018,Montenegro,5135444172.57865,,631219.0
2017,Montenegro,4887274946.92473,,631219.0
2016,Montenegro,4667151600.8246,38.5,631219.0
2015,Montenegro,4533444861.21991,39.0,631219.0
2014,Montenegro,4384784936.38777,38.8,631219.0
2013,Montenegro,4307944887.65039,39.0,631219.0
2012,Montenegro,4160296612.28314,41.2,631219.0
2011,Montenegro,4276787738.05463,,631219.0
2010,Montenegro,4143033275.88493,,631219.0
2009,Montenegro,4032762450.51021,,631219.0
2008,Montenegro,4280841227.25932,,631219.0
2007,Montenegro,3992473234.91718,,631219.0
2006,Montenegro,3737915560.04535,,631219.0
2018,Netherlands,946837898609.854,28.1,17231624
2017,Netherlands,924999447038.053,28.5,17231624
2016,Netherlands,898835229746.291,28.2,17231624
2015,Netherlands,879557839900.357,28.2,17231624
2014,Netherlands,862656926597.85,28.6,17231624
2013,Netherlands,850550233737.807,28.1,17231624
2012,Netherlands,851658883145.551,27.6,17231624
2011,Netherlands,860525340337.452,27.8,17231624
2010,Netherlands,847380859016.668,27.8,17231624
2009,Netherlands,836153497098.728,27.9,17231624
2008,Netherlands,867981366402.608,29.3,17231624
2007,Netherlands,849543512429.438,29.6,17231624
2006,Netherlands,818656877650.488,30.0,17231624
2018,North Macedonia,11360393491.8192,33.0,2084367.0
2017,North Macedonia,11042309099.238,34.2,2084367.0
2016,North Macedonia,10924134787.2329,34.5,2084367.0
2015,North Macedonia,10621609552.3164,35.6,2084367.0
2014,North Macedonia,10227260191.7624,35.2,2084367.0
2013,North Macedonia,9869098420.48675,36.2,2084367.0
2012,North Macedonia,9588606960.45675,38.1,2084367.0
2011,North Macedonia,9632549033.15179,39.4,2084367.0
2010,North Macedonia,9412311665.9492,40.2,2084367.0
2009,North Macedonia,9106448740.75946,42.8,2084367.0
2008,North Macedonia,9139223353.51773,,2084367.0
2007,North Macedonia,8665070571.39311,,2084367.0
2006,North Macedonia,8138242511.94872,,2084367.0
2018,Norway,488506420357,27.6,5311916.0
2017,Norway,483101343264.083,27.0,5311916.0
2016,Norway,472132485600.729,28.5,5311916.0
2015,Norway,467126944887.83,27.5,5311916.0
2014,Norway,458115229920.278,26.8,5311916.0
2013,Norway,449266722786.278,26.4,5311916.0
2012,Norway,444668526003.851,25.7,5311916.0
2011,Norway,432965007871.716,25.3,5311916.0
2010,Norway,428757038466.841,25.7,5311916.0
2009,Norway,425768848675.368,26.2,5311916.0
2008,Norway,433251184624.934,27.0,5311916.0
2007,Norway,431197048129.248,27.1,5311916.0
2006,Norway,418661275147.645,26.4,5311916.0
2018,Poland,632232812655.457,30.2,37974750
2017,Poland,600104964680.131,29.7,37974750
2016,Poland,572451795841.21,31.2,37974750
2015,Poland,555014724902.995,31.8,37974750
2014,Poland,532458063874.241,32.8,37974750
2013,Poland,515056478625.676,33.1,37974750
2012,Poland,509322687626.439,33.0,37974750
2011,Poland,502662952276.722,33.2,37974750
2010,Poland,479834179020.33,33.2,37974750
2009,Poland,462533048121.248,33.4,37974750
2008,Poland,449794050343.249,33.5,37974750
2007,Poland,431664312008.755,34.0,37974750
2006,Poland,403192683978.377,34.7,37974750
2018,Portugal,247931796009.536,33.5,10283822
2017,Portugal,241063120722.329,33.8,10283822
2016,Portugal,232896949514.553,35.2,10283822
2015,Portugal,228286732295.719,35.5,10283822
2014,Portugal,224267750933.647,35.6,10283822
2013,Portugal,222505087211.577,36.2,10283822
2012,Portugal,224577136198.924,36.0,10283822
2011,Portugal,234074214334.376,36.3,10283822
2010,Portugal,238113003233.284,35.8,10283822
2009,Portugal,234046157573.901,34.9,10283822
2008,Portugal,241588750226.565,36.6,10283822
2007,Portugal,240819937572.726,36.8,10283822
2006,Portugal,234931199934.205,38.1,10283822
2018,Romania,224725300753.379,35.8,19466145
2017,Romania,215100574411.243,36.0,19466145
2016,Romania,200430189829.58,34.4,19466145
2015,Romania,191427365158.106,35.9,19466145
2014,Romania,185935438388.184,36.0,19466145
2013,Romania,179459249986.084,36.9,19466145
2012,Romania,172937829621.072,36.5,19466145
2011,Romania,169479324149.248,35.9,19466145
2010,Romania,166309355234.589,35.5,19466145
2009,Romania,173060868628.322,35.6,19466145
2008,Romania,183166909447.59,36.4,19466145
2007,Romania,167570353781.434,37.5,19466145
2006,Romania,156266346693.626,39.6,19466145
2018,Russian Federation,1743720734850.68,37.5,144478050
2017,Russian Federation,1696106853061.04,37.2,144478050
2016,Russian Federation,1665694763578.53,36.8,144478050
2015,Russian Federation,1662474715110.35,37.7,144478050
2014,Russian Federation,1695930665412.95,39.9,144478050
2013,Russian Federation,1683535346495.76,40.9,144478050
2012,Russian Federation,1654492026998.83,40.7,144478050
2011,Russian Federation,1590489364644.29,39.7,144478050
2010,Russian Federation,1524917468442.01,39.5,144478050
2009,Russian Federation,1459251165972.78,39.8,144478050
2008,Russian Federation,1582701810889.97,41.6,144478050
2007,Russian Federation,1504469841529.42,42.3,144478050
2006,Russian Federation,1386608432989.65,41.0,144478050
2018,San Marino,1683506067.26526,,33785.0
2017,San Marino,1657895541.39012,,33785.0
2016,San Marino,1653624799.59014,,33785.0
2015,San Marino,1615745175.01546,,33785.0
2014,San Marino,1579549705.66672,,33785.0
2013,San Marino,1590722471.04721,,33785.0
2012,San Marino,1603291832.10026,,33785.0
2011,San Marino,1724795655.61309,,33785.0
2010,San Marino,1881214370.93994,,33785.0
2009,San Marino,1990148833.39972,,33785.0
2008,San Marino,2219190523.69976,,33785.0
2007,San Marino,2230363289.08025,,33785.0
2006,San Marino,2082324147.78876,,33785.0
2018,Serbia,48167224454.1516,,6963764.0
2017,Serbia,46095189764.125,36.2,6963764.0
2016,Serbia,45146586020.325,38.8,6963764.0
2015,Serbia,43688023451.3019,40.5,6963764.0
2014,Serbia,42912989429.7754,40.5,6963764.0
2013,Serbia,43606113097.5697,39.5,6963764.0
2012,Serbia,42380207643.5152,39.9,6963764.0
2011,Serbia,42671028784.1099,,6963764.0
2010,Serbia,41819468691.8251,,6963764.0
2009,Serbia,41515968465.9198,,6963764.0
2008,Serbia,42681933020.219,,6963764.0
2007,Serbia,40397236364.6127,,6963764.0
2006,Serbia,37953228515.7138,,6963764.0
2018,Slovakia,111860040781.458,25.0,5446771.0
2017,Slovakia,107920798507.243,,5446771.0
2016,Slovakia,104788135893.823,25.2,5446771.0
2015,Slovakia,102599958081.508,26.5,5446771.0
2014,Slovakia,97886806555.4282,26.1,5446771.0
2013,Slovakia,95367586177.8506,28.1,5446771.0
2012,Slovakia,94736136629.9989,26.1,5446771.0
2011,Slovakia,92972684423.6731,26.5,5446771.0
2010,Slovakia,90398832433.9335,27.3,5446771.0
2009,Slovakia,85385623781.6126,27.2,5446771.0
2008,Slovakia,90312661014.7879,26.0,5446771.0
2007,Slovakia,85543697111.3733,24.7,5446771.0
2006,Slovakia,77183191548.8511,25.8,5446771.0
2018,Slovenia,55552554713.0659,24.6,2073894.0
2017,Slovenia,53219159738.4832,24.2,2073894.0
2016,Slovenia,50784767161.7182,24.8,2073894.0
2015,Slovenia,49213931063.9334,25.4,2073894.0
2014,Slovenia,48149781597.2791,25.7,2073894.0
2013,Slovenia,46852821092.7902,26.2,2073894.0
2012,Slovenia,47340084426.0571,25.6,2073894.0
2011,Slovenia,48623471168.9764,24.9,2073894.0
2010,Slovenia,48208240226.4501,24.9,2073894.0
2009,Slovenia,47569032084.5723,24.8,2073894.0
2008,Slovenia,51452924048.1751,23.7,2073894.0
2007,Slovenia,49708243481.106,24.4,2073894.0
2006,Slovenia,46464917542.2106,24.4,2073894.0
2018,Spain,1543447293320.58,34.7,46796540
2017,Spain,1506830599353.93,34.7,46796540
2016,Spain,1463316808003.09,35.8,46796540
2015,Spain,1420264316878.6,36.2,46796540
2014,Spain,1367806573139.25,36.1,46796540
2013,Spain,1349135775978.08,36.2,46796540
2012,Spain,1368783211618.46,35.4,46796540
2011,Spain,1410526928100.77,35.7,46796540
2010,Spain,1422108199783.34,35.2,46796540
2009,Spain,1419793790647.73,34.9,46796540
2008,Spain,1475313249889.36,34.2,46796540
2007,Spain,1462340169523.89,34.1,46796540
2006,Spain,1411461390559.29,33.5,46796540
2018,Sweden,589259147923.413,30.0,10175214
2017,Sweden,577988245098.533,28.8,10175214
2016,Sweden,563517539985.087,29.6,10175214
2015,Sweden,552086083358.095,29.2,10175214
2014,Sweden,528366235242.641,28.4,10175214
2013,Sweden,514686895802.716,28.8,10175214
2012,Sweden,508645330091.796,27.6,10175214
2011,Sweden,511655422318.786,27.6,10175214
2010,Sweden,495812558843.31,27.7,10175214
2009,Sweden,467959130636.214,27.3,10175214
2008,Sweden,489188904610.127,28.1,10175214
2007,Sweden,491402966162.082,27.1,10175214
2006,Sweden,475064446275.73,26.4,10175214
2018,Switzerland,704920576240.946,33.1,8513227.0
2017,Switzerland,684299849661.364,32.7,8513227.0
2016,Switzerland,673624122427.937,33.0,8513227.0
2015,Switzerland,660123368612.609,32.3,8513227.0
2014,Switzerland,649358506468.394,32.5,8513227.0
2013,Switzerland,633849198063.623,32.5,8513227.0
2012,Switzerland,622509149394.166,31.6,8513227.0
2011,Switzerland,615023126905.369,31.7,8513227.0
2010,Switzerland,603434493402.679,32.6,8513227.0
2009,Switzerland,584337741980.175,32.9,8513227.0
2008,Switzerland,596747909749.776,33.8,8513227.0
2007,Switzerland,580745403737.188,34.3,8513227.0
2006,Switzerland,558432011619.952,33.9,8513227.0
2018,Ukraine,131291651249.309,26.1,44622516
2017,Ukraine,126968015121.443,26.0,44622516
2016,Ukraine,123912293812.632,25.0,44622516
2015,Ukraine,121203317705.377,25.5,44622516
2014,Ukraine,134331480637.625,24.0,44622516
2013,Ukraine,143750950398.359,24.6,44622516
2012,Ukraine,143789339118.051,24.7,44622516
2011,Ukraine,143446957451.616,24.6,44622516
2010,Ukraine,136013155905.036,24.8,44622516
2009,Ukraine,130990467246.875,25.3,44622516
2008,Ukraine,153669941036.719,26.6,44622516
2007,Ukraine,150209086270.689,27.0,44622516
2006,Ukraine,139607929641.793,29.8,44622516
2018,United Kingdom,2874157497314.14,,66460344
2017,United Kingdom,2838601442114.14,35.1,66460344
2016,United Kingdom,2790046007973.58,34.8,66460344
2015,United Kingdom,2742804332759.55,33.2,66460344
2014,United Kingdom,2679486211063.81,34.0,66460344
2013,United Kingdom,2604914574687.66,33.2,66460344
2012,United Kingdom,2549186468912.68,32.3,66460344
